Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,212,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,286,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,280,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,116,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,107,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,111,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,155,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,245,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,253,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,110,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,96,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,71,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,122,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,..,4,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,335,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,305,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,115,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,120,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,136,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,168,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,465,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,396,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,64,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,74,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,97,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,86,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,494,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,416,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,94,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,82,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,92,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,118,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,353,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,333,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,170,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,172,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,174,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,243,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,409,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,376,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,120,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,105,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,118,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,186,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,..,4,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,295,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,263,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,102,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,124,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,125,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,153,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,369,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,321,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,161,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,151,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,197,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,235,3,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,717,1,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,585,1,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,104,2,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,92,2,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,116,3,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,136,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,467,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,477,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,146,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,176,2,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,207,3,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,190,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,..,4,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,465,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,383,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,132,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,146,2,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,139,3,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,156,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,..,4,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,477,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,470,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,249,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,260,2,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,245,3,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,248,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,..,4,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,416,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,405,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,233,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,234,2,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,232,3,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,314,3,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,479,1,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,419,1,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,171,2,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,173,2,2
