DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
54,1,2,14,1,1,1,3,2,54,5,1,7,1,62,1,1,7,1,62,2,7,7,1111017200,2,3
29,1,1,16,2,2,0,7,1,28,1,1,5,1,29,1,1,7,2,23,1,1,7,2111017200,1,1
55,2,1,14,1,2,0,3,2,54,1,1,7,1,56,1,1,7,2,57,1,1,7,1111017600,3,4
45,2,1,5,1,4,1,3,2,44,1,1,3,2,47,1,1,3,2,67,2,7,2,1111018300,2,5
50,2,1,15,2,3,1,3,1,51,1,1,6,2,50,1,15,7,2,42,1,15,5,1111018700,2,5
17,2,1,9,3,2,0,4,2,17,1,1,4,2,16,1,8,4,1,16,2,8,4,1111018700,2,5
36,1,1,5,1,2,0,3,1,30,1,1,4,1,44,1,1,2,1,42,1,1,3,1411019500,4,4
41,1,1,5,1,1,0,3,1,35,1,1,4,1,50,1,1,4,1,32,1,1,4,1111019500,2,3
76,2,2,3,3,5,5,3,2,77,1,2,3,2,68,1,7,2,2,78,1,7,2,1111019600,1,1
48,1,2,5,1,1,1,4,1,45,1,1,4,1,41,5,1,6,2,45,3,2,6,1111019800,3,4
21,2,1,14,3,2,0,6,2,20,1,1,5,1,20,1,8,7,2,21,1,8,7,1111019800,3,4
59,2,1,4,3,1,2,3,2,56,1,1,2,2,59,1,1,2,2,59,1,6,2,1111020400,2,3
64,1,1,6,3,1,1,6,1,64,1,1,5,1,65,1,7,3,2,65,1,7,5,1111020800,2,3
29,2,1,15,1,2,0,3,1,39,1,3,5,2,29,1,1,7,2,31,1,2,7,2111020800,1,1
45,2,3,14,1,1,2,15,2,44,1,1,5,2,39,1,1,7,2,39,1,1,7,1111021000,4,4
45,1,1,14,1,1,2,10,1,50,1,1,7,1,47,1,1,5,1,42,1,1,5,1111021000,4,4
56,2,1,14,1,2,1,6,2,55,1,1,7,2,49,1,1,7,1,48,1,1,7,1111021100,6,6
55,1,1,5,1,2,0,8,2,47,1,2,7,1,54,1,1,7,2,51,1,1,7,1111021100,6,6
19,1,1,13,3,2,0,5,1,20,1,3,6,1,19,1,15,6,1,18,1,8,7,1111021100,6,6
17,2,1,9,3,1,0,4,2,17,1,1,5,1,18,1,8,6,2,18,1,8,5,1111021200,3,4
70,2,1,5,3,1,3,3,1,70,1,1,6,2,72,1,6,2,2,66,1,6,2,1111022700,3,4
55,2,2,4,1,1,2,3,2,56,1,1,3,2,55,1,1,3,2,54,1,15,3,1111023200,2,3
49,1,1,6,1,1,3,4,1,47,1,1,4,2,41,1,1,7,1,53,1,1,4,1111023300,5,4
22,1,1,13,3,2,0,5,2,22,1,1,5,2,21,1,8,6,2,22,1,1,5,1111023300,5,4
20,2,1,4,2,2,0,3,2,22,1,1,6,2,27,5,2,5,1,22,3,15,4,1111023300,5,4
16,1,1,4,3,2,0,15,1,16,1,1,4,2,15,1,8,4,1,15,1,8,4,1111023300,5,4
58,2,2,14,1,2,0,20,2,50,1,1,7,2,52,1,1,7,1,45,1,1,4,1111023600,1,1
61,1,1,6,1,4,2,3,1,59,1,1,4,2,59,1,15,5,1,61,1,1,5,1111023800,3,6
