Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,44,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,23,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,165,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,288,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,93,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,35,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,17,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,166,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,320,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,110,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,28,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,22,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,199,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,297,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,107,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,37,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,21,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,231,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,417,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,135,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,43,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,27,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,166,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,261,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,103,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,40,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,23,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,254,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,480,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,186,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,64,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,47,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,151,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,325,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,124,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,40,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,34,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,270,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,457,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,115,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,29,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,19,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,147,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,258,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,79,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,25,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,9,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,145,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,269,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,59,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,18,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,7,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,180,1
