Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,48,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,19,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,170,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,283,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,96,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,40,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,9,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,178,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,290,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,126,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,34,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,18,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,159,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,341,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,108,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,29,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,24,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,213,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,408,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,152,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,63,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,17,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,165,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,271,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,100,3
