﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids;PSC Vots;ERC Vots;JxCat Vots;VOX Vots;ECP-PEC Vots;CUP-G Vots;Cs Vots;PP Vots;PDeCAT Vots;RECORTES CERO-GV-M Vots;MPIC Vots;FNC Vots;PNC Vots;PCTC Vots;IZQP Vots;SOM TERRES DE L'EBRE Vots;PUM+J Vots;UEP Vots;EB Vots;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA Vots;ALIANZA C V Vots;SCAT Vots;M.C.R. Vots
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;1;;1889;383;814;987;902;17;8;962;970;147;283;269;40;36;123;17;26;17;1;1;0;1;0;;0;1;;;0;;;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;2;;1792;394;712;838;954;13;12;813;825;116;211;197;78;34;89;30;30;20;2;1;0;1;0;;2;1;;;1;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43904;Aldea, l';1;;2851;688;963;1188;1663;42;14;1132;1146;170;447;257;64;44;38;20;28;27;2;1;1;0;0;;32;0;;;1;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43006;Aldover;1;;686;168;291;358;328;10;2;346;348;45;154;72;15;19;18;2;2;8;0;0;0;0;1;;7;3;;;0;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43007;Aleixar, l';1;;665;179;365;412;253;2;3;407;410;27;122;130;19;10;57;12;12;13;0;2;0;0;0;;3;0;;;0;;;0
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;1;;7246;1892;3696;4531;2715;43;35;4453;4488;737;966;1234;313;200;265;279;206;199;15;14;12;11;2;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43008;Alfara de Carles;1;;314;64;100;121;193;3;1;117;118;19;35;19;15;2;12;2;10;3;0;0;0;0;0;;0;0;;;0;;;0
25;Lleida;4;Lleida;33;Segrià;25013;Alfarràs;1;;2072;518;916;1071;1001;10;15;1046;1061;234;230;331;58;24;51;39;43;26;1;2;0;0;3;0;;3;;1;;;0;
25;Lleida;4;Lleida;33;Segrià;25014;Alfés;1;;250;88;151;168;82;4;0;164;164;8;60;45;0;4;16;2;0;25;0;0;3;0;0;0;;0;;1;;;0;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43009;Alforja;1;;1417;383;688;800;617;12;7;781;788;117;216;184;27;38;109;23;12;42;1;10;0;0;0;;2;0;;;0;;;0
25;Lleida;4;Lleida;23;Noguera;25015;Algerri;1;;347;119;192;212;135;3;0;209;209;15;73;74;5;4;19;6;7;5;0;0;0;1;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25016;Alguaire;1;;2074;570;960;1125;949;18;13;1094;1107;126;361;383;22;26;80;14;28;38;1;6;4;1;1;1;;0;;1;;;1;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25017;Alins;1;;231;42;113;157;74;4;2;151;153;21;39;47;0;5;12;1;3;20;1;0;0;1;0;0;;1;;0;;;0;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43010;Alió;1;;349;111;179;202;147;1;2;199;201;22;51;67;11;10;20;3;3;8;1;2;0;0;0;;0;0;;;1;;;0
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;1;;2178;409;856;1012;1166;31;8;973;981;189;286;199;63;57;58;36;40;27;1;2;5;1;0;1;;2;;6;;;0;
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;2;;2413;506;910;1081;1332;30;9;1042;1051;172;258;277;65;48;54;50;62;27;4;9;3;2;0;4;;2;;4;;;1;
25;Lleida;4;Lleida;33;Segrià;25020;Almatret;1;;272;99;178;199;73;2;4;193;197;13;53;73;11;4;10;3;6;17;2;1;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;1;;589;111;203;257;332;5;3;249;252;66;89;38;13;4;11;7;8;11;0;0;1;0;0;0;;1;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;2;;1938;424;798;1010;928;11;6;993;999;109;384;282;31;27;72;14;11;42;3;4;6;0;1;0;;1;;6;;;0;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43011;Almoster;1;;1094;338;638;739;355;10;6;723;729;63;184;263;37;26;66;20;25;32;0;1;2;0;0;;2;0;;;0;;;2
25;Lleida;4;Lleida;23;Noguera;25022;Alòs de Balaguer;1;;103;30;48;62;41;0;0;62;62;6;19;24;0;4;2;2;1;4;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17006;Alp;1;;1228;274;523;735;493;24;4;707;711;78;168;231;24;21;97;23;14;38;0;2;1;3;1;0;;3;1;;;2;;
8;Barcelona;2;Catalunya Central;24;Osona;08004;Alpens;1;;212;88;150;178;34;2;3;173;176;6;45;82;1;7;19;0;0;10;0;0;3;0;0;0;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;1;;4642;952;2036;2699;1943;45;29;2625;2654;376;677;739;197;73;141;108;98;179;7;5;3;5;1;1;;5;;10;;;0;
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43012;Altafulla;1;;3810;1109;2072;2478;1332;40;30;2408;2438;512;548;501;187;169;173;121;86;67;6;6;2;7;2;;2;11;;;3;;;5
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25024;Alt Àneu;1;;366;88;166;248;118;1;1;246;247;25;82;87;1;2;31;1;2;12;0;0;2;1;0;0;;0;;0;;;0;
17;Girona;3;Girona;34;Selva;17007;Amer;1;;1788;598;1016;1128;660;26;5;1097;1102;64;183;673;8;23;107;12;6;9;0;0;5;2;1;1;;0;1;;;2;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08005;Ametlla del Vallès, l';1;;6576;1097;3006;3912;2664;71;29;3812;3841;497;893;1247;278;192;238;156;107;176;16;3;2;5;1;1;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43013;Ametlla de Mar, l';1;;4532;1195;1912;2406;2126;61;25;2320;2345;319;762;651;147;89;132;64;64;44;0;6;8;1;3;;23;4;;;3;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43906;Ampolla, l';1;;2181;656;1015;1236;945;46;4;1186;1190;161;259;435;74;43;71;42;35;46;0;1;0;0;1;;13;1;;;3;;;1
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;1;;1490;457;646;721;769;17;5;699;704;98;276;112;39;23;45;35;28;25;0;2;0;0;2;;12;2;;;0;;;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;2;;1343;350;553;628;715;18;10;600;610;103;206;104;31;27;45;17;26;16;2;0;3;1;0;;17;2;;;0;;;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;3;;2217;513;835;980;1237;35;6;939;945;135;361;171;57;45;57;27;21;19;0;5;1;0;0;;29;11;;;0;;;0
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;4;;9417;2161;3730;4334;5083;138;53;4143;4196;644;1541;839;208;200;298;94;76;83;4;4;8;2;1;;126;14;;;1;;;0
17;Girona;3;Girona;34;Selva;17008;Anglès;1;;3561;996;1744;1997;1564;28;13;1956;1969;170;386;960;57;50;212;29;20;44;4;9;2;3;3;0;;4;3;;;0;;
25;Lleida;4;Lleida;38;Urgell;25027;Anglesola;1;;971;319;513;569;402;6;6;557;563;15;194;223;27;16;21;17;12;24;0;1;3;0;2;0;;0;;1;;;1;
25;Lleida;4;Lleida;18;Garrigues;25029;Arbeca;1;;1581;401;785;971;610;17;5;949;954;112;306;324;17;27;91;10;25;31;1;0;0;1;1;0;;1;;2;;;0;
43;Tarragona;8;Penedès;12;Baix Penedès;43016;Arboç, l';1;;3457;906;1661;1871;1586;52;13;1806;1819;573;390;282;132;95;123;103;48;38;5;3;6;1;2;;0;2;;;3;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43015;Arbolí;1;;111;53;77;90;21;3;1;86;87;0;39;22;0;8;10;0;0;4;0;0;1;0;0;;0;2;;;0;;;0
17;Girona;3;Girona;34;Selva;17009;Arbúcies;1;;3099;784;1499;1818;1281;24;17;1777;1794;140;445;739;41;75;231;25;16;44;0;7;7;3;2;0;;1;1;;;0;;
17;Girona;3;Girona;34;Selva;17009;Arbúcies;2;;1010;257;516;624;386;7;5;612;617;30;131;275;15;21;89;16;8;22;1;0;1;1;0;0;;0;2;;;0;;
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;1;;5465;1249;2529;3033;2432;51;22;2960;2982;400;653;1004;173;146;250;101;94;91;12;10;13;10;3;0;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;2;;6356;1372;2511;3393;2963;38;26;3329;3355;546;768;1052;171;171;260;117;114;89;12;9;11;6;1;2;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;1;;3576;748;1753;2023;1553;24;17;1982;1999;200;581;672;94;71;214;46;22;57;7;10;3;0;5;0;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;2;;3355;695;1601;1902;1453;28;19;1855;1874;213;507;628;77;78;190;39;46;47;8;7;9;4;2;0;;;;;;;;
17;Girona;3;Girona;19;Garrotxa;17010;Argelaguer;1;;330;99;179;210;120;2;4;204;208;4;33;98;0;14;43;2;0;4;0;2;3;1;0;0;;0;0;;;0;;
8;Barcelona;8;Penedès;6;Anoia;08008;Argençola;1;;177;64;108;117;60;1;3;113;116;5;25;39;7;6;22;0;2;4;1;1;0;1;0;0;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43017;Argentera, l';1;;116;69;91;98;18;1;0;97;97;7;36;36;0;2;8;0;3;3;1;0;0;0;1;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;;6600;1649;3320;3845;2755;34;25;3786;3811;628;851;1029;283;213;288;184;129;136;14;5;15;2;5;4;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;2;;3052;737;1392;1629;1423;28;20;1581;1601;235;381;453;84;98;138;67;52;56;3;6;4;1;1;2;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17011;Armentera, l';1;;654;244;432;481;173;1;11;469;480;41;130;194;8;10;47;5;7;16;1;3;0;6;0;0;;0;1;;;0;;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43018;Arnes;1;;376;173;254;306;70;15;7;284;291;21;85;132;6;7;19;5;3;5;0;0;1;0;0;;0;0;;;0;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25031;Arres;1;;55;8;11;29;26;0;2;27;29;11;2;3;5;0;1;2;2;1;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25032;Arsèguel;1;;65;15;33;44;21;1;1;42;43;2;20;9;1;1;6;0;0;1;1;0;0;0;0;0;;0;;1;;;0;
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;1;;1060;203;495;570;490;3;2;565;567;76;159;153;27;21;87;20;9;8;2;2;1;0;0;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;2;;3190;723;1615;1908;1282;32;16;1860;1876;215;483;622;87;61;218;64;19;66;6;14;1;2;2;0;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25033;Artesa de Lleida;1;;1129;342;629;751;378;8;8;735;743;65;255;230;22;15;69;12;10;47;1;0;0;0;1;0;;8;;0;;;0;
25;Lleida;4;Lleida;23;Noguera;25034;Artesa de Segre;1;;2272;484;1115;1332;940;22;11;1299;1310;101;453;448;39;19;105;17;25;75;3;3;3;1;1;0;;2;;2;;;2;
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43019;Ascó;1;;1297;326;558;702;595;14;7;681;688;100;256;140;24;19;46;31;28;25;0;2;2;2;0;;4;0;;;2;;;0
25;Lleida;4;Lleida;33;Segrià;25036;Aspa;1;;172;68;108;122;50;1;2;119;121;34;21;31;8;0;13;5;7;0;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;23;Noguera;25037;Avellanes i Santa Linya, les;1;;368;93;171;201;167;4;5;192;197;17;74;57;7;3;19;1;2;11;0;0;0;0;0;0;;0;;0;;;1;
8;Barcelona;2;Catalunya Central;14;Berguedà;08011;Avià;1;;1745;472;978;1118;627;18;9;1091;1100;66;324;416;12;27;152;7;7;63;5;10;1;0;0;1;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08012;Avinyó;1;;1728;506;945;1078;650;12;13;1053;1066;83;297;426;18;26;117;14;13;51;0;2;5;1;0;0;;;;;;;;
8;Barcelona;8;Penedès;3;Alt Penedès;08013;Avinyonet del Penedès;1;;1297;379;714;815;482;12;7;796;803;92;191;331;36;36;49;28;9;18;0;3;2;0;1;0;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17012;Avinyonet de Puigventós;1;;1211;291;622;687;524;13;2;672;674;86;165;200;65;32;29;28;12;38;3;2;2;1;5;0;;1;0;;;3;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;;6220;1834;3702;4081;2139;54;23;4004;4027;458;980;1329;134;240;458;101;113;145;8;19;9;7;3;0;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;;13602;2773;5590;6652;6950;81;56;6515;6571;1510;1519;1191;468;484;485;316;351;122;22;18;11;4;10;4;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;;13511;3271;6594;7595;5916;90;55;7450;7505;1829;1763;1244;498;597;513;404;332;172;41;9;14;9;15;10;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;4;;20624;3947;8648;10116;10508;150;82;9884;9966;2878;2235;1092;934;813;564;645;492;114;65;11;7;6;17;11;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;5;;9419;2395;4917;5672;3747;66;41;5565;5606;940;1437;1332;285;410;572;216;190;116;22;16;13;2;8;6;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;6;;6113;1176;2222;2518;3595;49;7;2462;2469;720;455;239;323;227;101;188;152;25;17;2;0;1;12;0;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;7;;27640;5143;10552;11869;15771;145;89;11635;11724;4165;1905;873;1290;1047;481;887;739;101;80;6;12;8;31;10;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;8;;14267;2414;5441;6286;7981;109;30;6147;6177;2451;844;340;722;572;171;544;366;36;57;3;5;5;20;11;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;9;;43955;8207;14492;16297;27658;207;139;15951;16090;6193;2122;785;2169;1254;485;1372;1283;85;108;17;9;10;47;12;;;;;;;;
8;Barcelona;1;Barcelona;40;Vallès Occidental;08904;Badia del Vallès;1;;10396;2116;3684;4253;6143;51;31;4171;4202;1708;509;122;605;460;150;368;184;9;32;0;2;2;9;11;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08016;Bagà;1;;1789;572;900;1125;664;13;11;1101;1112;183;300;358;30;31;110;35;16;30;3;0;0;4;0;1;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25039;Baix Pallars;1;;279;65;129;195;84;2;2;191;193;22;48;56;2;14;32;3;2;3;0;1;5;0;1;0;;1;;0;;;1;
25;Lleida;4;Lleida;23;Noguera;25040;Balaguer;1;;1629;385;693;786;843;19;5;762;767;130;215;163;60;24;47;31;44;32;0;4;4;1;1;1;;1;;1;;;3;
25;Lleida;4;Lleida;23;Noguera;25040;Balaguer;2;;871;159;265;299;572;2;15;282;297;74;69;59;25;10;11;11;11;5;0;1;0;0;0;1;;0;;2;;;3;
25;Lleida;4;Lleida;23;Noguera;25040;Balaguer;3;;2889;572;1123;1324;1565;31;13;1280;1293;250;404;278;75;32;79;59;42;45;0;1;2;3;1;2;;1;;5;;;1;
25;Lleida;4;Lleida;23;Noguera;25040;Balaguer;4;;5297;1197;2451;2940;2357;65;24;2851;2875;412;846;892;100;80;203;76;75;131;6;6;5;2;7;1;;4;;5;;;0;
8;Barcelona;2;Catalunya Central;24;Osona;08017;Balenyà;1;;2824;578;1269;1533;1291;13;26;1494;1520;207;393;513;74;51;152;37;15;33;10;2;2;4;1;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08018;Balsareny;1;;2564;615;1117;1385;1179;17;10;1358;1368;234;351;371;100;63;114;49;21;41;4;2;0;4;4;0;;;;;;;;
43;Tarragona;8;Penedès;12;Baix Penedès;43020;Banyeres del Penedès;1;;2347;568;1041;1199;1148;19;8;1172;1180;310;253;203;111;62;71;85;33;26;3;1;4;0;2;;0;3;;;4;;;1
17;Girona;3;Girona;28;Pla de l'Estany;17015;Banyoles;1;;5254;1376;2731;3111;2143;61;19;3031;3050;275;816;1145;83;106;403;43;34;79;4;12;6;5;6;2;;4;5;;;3;;
17;Girona;3;Girona;28;Pla de l'Estany;17015;Banyoles;2;;5149;1414;2958;3433;1716;43;27;3363;3390;261;717;1451;64;125;424;57;47;167;2;18;12;6;2;0;;6;4;;;0;;
17;Girona;3;Girona;28;Pla de l'Estany;17015;Banyoles;3;;2534;599;1288;1440;1094;15;18;1407;1425;118;381;604;20;40;137;25;16;48;1;4;5;3;1;2;;2;0;;;0;;
25;Lleida;4;Lleida;27;Pla d'Urgell;25041;Barbens;1;;523;154;242;283;240;4;10;269;279;27;97;90;8;4;15;2;5;14;2;2;2;0;0;0;;0;;1;;;0;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43021;Barberà de la Conca;1;;334;114;178;208;126;6;3;199;202;15;50;55;12;10;27;2;5;21;1;0;0;0;1;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08252;Barberà del Vallès;1;;24879;4993;10799;12693;12186;203;91;12399;12490;4286;2258;841;1356;1231;484;1140;507;132;108;8;9;9;16;14;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;1;;44821;8120;16619;19836;24985;235;124;19477;19601;4867;3634;3001;1200;2767;1740;1033;690;273;119;36;28;26;40;23;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;10;;161032;35788;74810;91256;69776;997;676;89583;90259;23541;19215;13582;6077;9059;6079;5652;3712;1540;463;206;123;103;154;77;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;2;;175436;38512;86704;108056;67380;1067;717;106272;106989;22233;20083;24304;6211;9540;8017;5897;5006;3745;376;290;164;206;120;80;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;3;;122174;25869;54582;65389;56785;701;386;64302;64688;15534;14327;10481;3866;6888;5293;3560;2443;1086;342;152;104;78;94;54;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;4;;59466;16209;32006;38880;20586;406;233;38241;38474;7996;6433;8292;3414;2113;1753;2990;3149;1709;107;77;42;110;36;20;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;5;;104221;26053;57113;71322;32899;663;532;70127;70659;13023;7815;15281;7968;3151;2803;5980;8178;5182;158;147;74;305;36;26;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;6;;83867;20791;43616;53124;30743;518;366;52240;52606;9210;10970;12334;2285;5689;5574;2193;1739;1596;209;156;96;93;57;39;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;7;;123541;27798;56017;66034;57507;793;419;64822;65241;16543;13520;10285;4359;6637;5096;3659;2739;1146;386;124;72;75;125;56;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;8;;116657;24327;46864;53707;62950;682;356;52669;53025;17771;9267;4733;5010;5293;2656;3942;2835;498;339;63;45;52;99;66;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;9;;108068;24449;51274;60398;47670;742;376;59280;59656;15666;13273;8721;3890;5878;4094;3786;2386;873;322;104;82;55;94;56;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25042;Baronia de Rialb, la;1;;202;81;128;140;62;1;1;138;139;8;34;31;1;2;4;1;1;56;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;2;Alt Empordà;17016;Bàscara;1;;739;200;433;474;265;11;6;457;463;41;114;185;16;18;56;4;3;14;0;1;1;0;1;0;;0;2;;;1;;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25044;Bassella;1;;180;65;101;130;50;3;1;126;127;10;23;38;3;3;13;2;6;28;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43022;Batea;1;;1430;395;672;895;535;15;10;870;880;304;229;135;72;19;37;14;42;15;0;0;0;0;0;;2;0;;;1;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25045;Bausen;1;;59;6;10;25;34;1;1;23;24;5;3;2;0;3;5;2;2;1;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08020;Begues;1;;5374;1108;2614;3400;1974;24;34;3342;3376;621;858;732;221;232;237;181;96;122;20;9;6;4;3;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17013;Begur;1;;2832;796;1408;1612;1220;26;17;1569;1586;326;338;463;105;71;88;64;49;38;4;6;4;1;2;0;;3;7;;;0;;
