﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
8;Barcelona;1;Barcelona;13;Barcelonès;08245;Santa Coloma de Gramenet;6;;7601;1426;2515;2833;4768;50;16;2767;2783
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43139;Santa Coloma de Queralt;1;;1199;237;565;683;516;16;7;660;667
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43139;Santa Coloma de Queralt;2;;814;157;397;478;336;10;2;466;468
17;Girona;3;Girona;10;Baix Empordà;17181;Santa Cristina d'Aro;1;;3578;773;1598;1899;1679;31;18;1850;1868
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;1;;7451;1214;3069;3672;3779;58;22;3592;3614
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;2;;6498;1126;2386;2836;3662;26;32;2778;2810
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;3;;394;49;101;117;277;1;1;115;116
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;4;;966;169;396;493;473;7;0;486;486
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;5;;3816;855;1520;1713;2103;20;9;1684;1693
8;Barcelona;1;Barcelona;13;Barcelonès;08194;Sant Adrià de Besòs;6;;6469;833;1349;1528;4941;18;13;1497;1510
8;Barcelona;2;Catalunya Central;24;Osona;08246;Santa Eugènia de Berga;1;;1693;533;991;1093;600;11;4;1078;1082
8;Barcelona;2;Catalunya Central;24;Osona;08247;Santa Eulàlia de Riuprimer;1;;1013;305;641;720;293;21;7;692;699
8;Barcelona;1;Barcelona;41;Vallès Oriental;08248;Santa Eulàlia de Ronçana;1;;5805;1267;2671;3055;2750;34;31;2990;3021
8;Barcelona;8;Penedès;3;Alt Penedès;08249;Santa Fe del Penedès;1;;282;108;204;230;52;5;7;218;225
8;Barcelona;2;Catalunya Central;24;Osona;08195;Sant Agustí de Lluçanès;1;;80;24;49;57;23;6;1;50;51
17;Girona;3;Girona;2;Alt Empordà;17182;Santa Llogaia d'Àlguema;1;;285;88;142;151;134;5;1;145;146
8;Barcelona;8;Penedès;6;Anoia;08250;Santa Margarida de Montbui;1;;7194;1514;2641;3141;4053;58;37;3046;3083
8;Barcelona;8;Penedès;3;Alt Penedès;08251;Santa Margarida i els Monjos;1;;5181;1252;2245;2618;2563;36;26;2556;2582
8;Barcelona;2;Catalunya Central;42;Moianès;08258;Santa Maria d'Oló;1;;839;250;534;588;251;8;7;573;580
8;Barcelona;2;Catalunya Central;24;Osona;08253;Santa Maria de Besora;1;;132;53;86;92;40;2;3;87;90
8;Barcelona;1;Barcelona;41;Vallès Oriental;08256;Santa Maria de Martorelles;1;;692;172;365;425;267;5;9;411;420
8;Barcelona;2;Catalunya Central;14;Berguedà;08255;Santa Maria de Merlès;1;;124;44;77;89;35;0;2;87;89
8;Barcelona;8;Penedès;6;Anoia;08257;Santa Maria de Miralles;1;;106;45;67;76;30;1;2;73;75
8;Barcelona;1;Barcelona;41;Vallès Oriental;08259;Santa Maria de Palautordera;1;;7108;1991;3830;4371;2737;49;39;4283;4322
8;Barcelona;1;Barcelona;11;Baix Llobregat;08196;Sant Andreu de la Barca;1;;19510;4137;8553;9698;9812;132;86;9480;9566
8;Barcelona;1;Barcelona;21;Maresme;08197;Sant Andreu de Llavaneres;1;;4560;943;2120;2564;1996;29;28;2507;2535
8;Barcelona;1;Barcelona;21;Maresme;08197;Sant Andreu de Llavaneres;2;;3522;788;1705;2038;1484;21;13;2004;2017
17;Girona;3;Girona;20;Gironès;17157;Sant Andreu Salou;1;;119;35;86;97;22;1;2;94;96
17;Girona;3;Girona;19;Garrotxa;17183;Sant Aniol de Finestres;1;;255;95;152;172;83;4;4;164;168
8;Barcelona;1;Barcelona;41;Vallès Oriental;08198;Sant Antoni de Vilamajor;1;;4753;988;2241;2768;1985;44;22;2702;2724
43;Tarragona;8;Penedès;12;Baix Penedès;43140;Santa Oliva;1;;2486;622;1061;1153;1333;19;11;1123;1134
17;Girona;3;Girona;19;Garrotxa;17184;Santa Pau;1;;1254;419;719;830;424;19;11;800;811
8;Barcelona;1;Barcelona;40;Vallès Occidental;08260;Santa Perpètua de Mogoda;1;;18704;4028;8331;9461;9243;159;59;9243;9302
8;Barcelona;1;Barcelona;21;Maresme;08261;Santa Susanna;1;;2447;572;1139;1388;1059;13;22;1353;1375
8;Barcelona;2;Catalunya Central;24;Osona;08199;Sant Bartomeu del Grau;1;;655;198;379;418;237;10;4;404;408
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;1;;7263;1494;2841;3140;4123;51;21;3068;3089
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;2;;24405;5362;11034;12281;12124;165;135;11981;12116
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;3;;10783;2499;4937;5758;5025;56;49;5653;5702
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;4;;11901;2627;5235;5846;6055;60;79;5707;5786
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;5;;3768;633;1199;1367;2401;18;20;1329;1349
8;Barcelona;1;Barcelona;11;Baix Llobregat;08200;Sant Boi de Llobregat;6;;3987;838;1602;1766;2221;30;29;1707;1736
8;Barcelona;2;Catalunya Central;24;Osona;08201;Sant Boi de Lluçanès;1;;465;143;239;303;162;13;6;284;290
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43136;Sant Carles de la Ràpita;1;;6506;1451;2604;2960;3546;44;30;2886;2916
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43136;Sant Carles de la Ràpita;2;;4088;1013;1796;2034;2054;44;10;1980;1990
8;Barcelona;1;Barcelona;21;Maresme;08203;Sant Cebrià de Vallalta;1;;2523;614;1120;1285;1238;9;12;1264;1276
8;Barcelona;1;Barcelona;41;Vallès Oriental;08202;Sant Celoni;1;;11391;2943;5442;6189;5202;77;43;6069;6112
8;Barcelona;1;Barcelona;41;Vallès Oriental;08202;Sant Celoni;2;;1667;400;736;823;844;10;6;807;813
8;Barcelona;1;Barcelona;11;Baix Llobregat;08204;Sant Climent de Llobregat;1;;3173;728;1642;1858;1315;33;13;1812;1825
17;Girona;3;Girona;2;Alt Empordà;17158;Sant Climent Sescebes;1;;533;141;206;246;287;4;0;242;242
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;1;;27946;6648;15790;18549;9397;187;145;18217;18362
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;2;;14352;3615;8545;10036;4316;105;91;9840;9931
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;3;;5911;1327;3337;3904;2007;35;26;3843;3869
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;4;;3243;941;1859;2105;1138;15;19;2071;2090
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;5;;10866;2398;6160;7415;3451;62;64;7289;7353
8;Barcelona;1;Barcelona;40;Vallès Occidental;08205;Sant Cugat del Vallès;6;;952;207;430;480;472;14;4;462;466
8;Barcelona;8;Penedès;3;Alt Penedès;08206;Sant Cugat Sesgarrigues;1;;741;201;463;530;211;7;4;519;523
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25196;Sant Esteve de la Sarga;1;;105;23;42;67;38;1;1;65;66
8;Barcelona;1;Barcelona;41;Vallès Oriental;08207;Sant Esteve de Palautordera;1;;2126;438;1268;1467;659;20;20;1427;1447
8;Barcelona;1;Barcelona;11;Baix Llobregat;08208;Sant Esteve Sesrovires;1;;5870;1388;2792;3336;2534;35;31;3270;3301
17;Girona;3;Girona;34;Selva;17159;Sant Feliu de Buixalleu;1;;637;151;338;385;252;5;6;374;380
8;Barcelona;1;Barcelona;41;Vallès Oriental;08210;Sant Feliu de Codines;1;;2712;464;1164;1388;1324;18;8;1362;1370
8;Barcelona;1;Barcelona;41;Vallès Oriental;08210;Sant Feliu de Codines;2;;2014;391;853;1014;1000;19;11;984;995
17;Girona;3;Girona;10;Baix Empordà;17160;Sant Feliu de Guíxols;1;;2492;645;1241;1443;1049;29;15;1399;1414
17;Girona;3;Girona;10;Baix Empordà;17160;Sant Feliu de Guíxols;2;;6622;1512;2655;2920;3702;38;31;2851;2882
17;Girona;3;Girona;10;Baix Empordà;17160;Sant Feliu de Guíxols;3;;3701;977;1619;1845;1856;31;17;1797;1814
17;Girona;3;Girona;10;Baix Empordà;17160;Sant Feliu de Guíxols;4;;2036;408;911;1118;918;10;8;1100;1108
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;1;;8824;2557;5053;5803;3021;61;44;5698;5742
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;2;;5318;1352;2485;2799;2519;39;28;2732;2760
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;3;;7056;1856;3463;4048;3008;64;17;3967;3984
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;4;;3361;859;1379;1552;1809;20;11;1521;1532
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;5;;4469;1084;1886;2117;2352;38;20;2059;2079
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;6;;1048;252;555;635;413;10;6;619;625
8;Barcelona;1;Barcelona;11;Baix Llobregat;08211;Sant Feliu de Llobregat;7;;4038;1121;2353;2728;1310;45;24;2659;2683
17;Girona;3;Girona;19;Garrotxa;17161;Sant Feliu de Pallerols;1;;1038;330;663;741;297;13;3;725;728
8;Barcelona;2;Catalunya Central;7;Bages;08212;Sant Feliu Sasserra;1;;481;190;300;343;138;9;3;331;334
17;Girona;3;Girona;19;Garrotxa;17162;Sant Ferriol;1;;160;47;74;91;69;0;1;90;91
8;Barcelona;1;Barcelona;41;Vallès Oriental;08209;Sant Fost de Campsentelles;1;;7033;1353;2895;3565;3468;39;34;3492;3526
8;Barcelona;2;Catalunya Central;7;Bages;08213;Sant Fruitós de Bages;1;;6686;1608;3191;3751;2935;43;37;3671;3708
17;Girona;3;Girona;20;Gironès;17163;Sant Gregori;1;;2941;861;1760;2030;911;45;9;1976;1985
25;Lleida;4;Lleida;32;Segarra;25192;Sant Guim de Freixenet;1;;741;161;366;436;305;10;1;425;426
25;Lleida;4;Lleida;32;Segarra;25197;Sant Guim de la Plana;1;;140;67;97;106;34;2;2;102;104
17;Girona;3;Girona;34;Selva;17164;Sant Hilari Sacalm;1;;3890;954;1759;2096;1794;56;14;2026;2040
8;Barcelona;2;Catalunya Central;24;Osona;08215;Sant Hipòlit de Voltregà;1;;2618;756;1389;1545;1073;31;17;1497;1514
8;Barcelona;1;Barcelona;21;Maresme;08193;Sant Iscle de Vallalta;1;;1022;242;493;570;452;14;5;551;556
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43902;Sant Jaume d'Enveja;1;;2769;761;1140;1294;1475;161;16;1117;1133
8;Barcelona;2;Catalunya Central;14;Berguedà;08216;Sant Jaume de Frontanyà;1;;23;7;9;12;11;0;0;12;12
17;Girona;3;Girona;19;Garrotxa;17165;Sant Jaume de Llierca;1;;627;194;338;377;250;5;4;368;372
43;Tarragona;8;Penedès;12;Baix Penedès;43137;Sant Jaume dels Domenys;1;;1930;464;840;1003;927;23;5;975;980
17;Girona;3;Girona;31;Ripollès;17167;Sant Joan de les Abadesses;1;;2603;756;1372;1627;976;33;24;1570;1594
17;Girona;3;Girona;20;Gironès;17168;Sant Joan de Mollet;1;;372;132;244;267;105;6;7;254;261
8;Barcelona;1;Barcelona;11;Baix Llobregat;08217;Sant Joan Despí;1;;12381;3189;6349;7713;4668;89;52;7572;7624
8;Barcelona;1;Barcelona;11;Baix Llobregat;08217;Sant Joan Despí;2;;3344;693;1427;1659;1685;28;15;1616;1631
8;Barcelona;1;Barcelona;11;Baix Llobregat;08217;Sant Joan Despí;3;;4682;1230;2157;2384;2298;42;12;2330;2342
8;Barcelona;1;Barcelona;11;Baix Llobregat;08217;Sant Joan Despí;4;;2124;443;1192;1422;702;22;15;1385;1400
8;Barcelona;1;Barcelona;11;Baix Llobregat;08217;Sant Joan Despí;5;;2911;625;1592;1892;1019;18;14;1860;1874
8;Barcelona;2;Catalunya Central;7;Bages;08218;Sant Joan de Vilatorrada;1;;8032;2058;3728;4206;3826;38;42;4126;4168
17;Girona;3;Girona;19;Garrotxa;17185;Sant Joan les Fonts;1;;2280;553;1053;1221;1059;9;13;1199;1212
17;Girona;3;Girona;20;Gironès;17166;Sant Jordi Desvalls;1;;547;227;368;413;134;10;0;403;403
8;Barcelona;2;Catalunya Central;14;Berguedà;08903;Sant Julià de Cerdanyola;1;;205;89;150;174;31;0;0;174;174
17;Girona;3;Girona;34;Selva;17903;Sant Julià del Llor i Bonmatí;1;;918;268;508;550;368;6;5;539;544
17;Girona;3;Girona;20;Gironès;17169;Sant Julià de Ramis;1;;2536;730;1423;1623;913;30;18;1575;1593
8;Barcelona;2;Catalunya Central;24;Osona;08220;Sant Julià de Vilatorta;1;;2424;854;1634;1824;600;17;28;1779;1807
8;Barcelona;1;Barcelona;11;Baix Llobregat;08221;Sant Just Desvern;1;;13386;3731;7446;8850;4536;92;55;8703;8758
8;Barcelona;8;Penedès;3;Alt Penedès;08222;Sant Llorenç d'Hortons;1;;1855;502;1059;1225;630;18;16;1191;1207
17;Girona;3;Girona;2;Alt Empordà;17171;Sant Llorenç de la Muga;1;;182;58;115;130;52;3;2;125;127
25;Lleida;2;Catalunya Central;35;Solsonès;25193;Sant Llorenç de Morunys;1;;794;252;429;487;307;12;1;474;475
8;Barcelona;1;Barcelona;40;Vallès Occidental;08223;Sant Llorenç Savall;1;;1957;478;952;1080;877;15;10;1055;1065
8;Barcelona;2;Catalunya Central;24;Osona;08225;Sant Martí d'Albars;1;;97;44;60;69;28;0;1;68;69
8;Barcelona;2;Catalunya Central;24;Osona;08224;Sant Martí de Centelles;1;;884;228;448;524;360;11;4;509;513
17;Girona;3;Girona;20;Gironès;17172;Sant Martí de Llémena;1;;477;162;272;298;179;13;4;281;285
25;Lleida;4;Lleida;38;Urgell;25902;Sant Martí de Riucorb;1;;534;188;289;327;207;10;0;317;317
8;Barcelona;8;Penedès;6;Anoia;08226;Sant Martí de Tous;1;;928;300;608;695;233;15;9;671;680
8;Barcelona;8;Penedès;3;Alt Penedès;08227;Sant Martí Sarroca;1;;2424;631;1151;1376;1048;24;18;1334;1352
8;Barcelona;2;Catalunya Central;6;Anoia;08228;Sant Martí Sesgueioles;1;;287;94;176;200;87;8;3;189;192
17;Girona;3;Girona;20;Gironès;17173;Sant Martí Vell;1;;188;62;119;133;55;0;2;131;133
8;Barcelona;2;Catalunya Central;7;Bages;08229;Sant Mateu de Bages;1;;513;179;328;372;141;6;1;365;366
17;Girona;3;Girona;28;Pla de l'Estany;17174;Sant Miquel de Campmajor;1;;170;54;91;109;61;1;3;105;108
17;Girona;3;Girona;2;Alt Empordà;17175;Sant Miquel de Fluvià;1;;554;163;240;266;288;6;5;255;260
17;Girona;3;Girona;2;Alt Empordà;17176;Sant Mori;1;;118;53;79;92;26;0;1;91;92
17;Girona;3;Girona;31;Ripollès;17177;Sant Pau de Segúries;1;;584;187;296;339;245;16;5;318;323
8;Barcelona;2;Catalunya Central;7;Bages;08192;Santpedor;1;;5715;1426;2925;3502;2213;39;26;3437;3463
8;Barcelona;8;Penedès;17;Garraf;08231;Sant Pere de Ribes;1;;21551;4480;9253;10597;10954;130;85;10382;10467
8;Barcelona;8;Penedès;3;Alt Penedès;08232;Sant Pere de Riudebitlles;1;;1798;484;943;1041;757;17;7;1017;1024
8;Barcelona;2;Catalunya Central;24;Osona;08233;Sant Pere de Torelló;1;;1876;464;956;1110;766;11;15;1084;1099
8;Barcelona;1;Barcelona;41;Vallès Oriental;08234;Sant Pere de Vilamajor;1;;3513;687;1542;1947;1566;103;24;1820;1844
17;Girona;3;Girona;2;Alt Empordà;17178;Sant Pere Pescador;1;;1073;311;542;604;469;7;1;596;597
8;Barcelona;2;Catalunya Central;6;Anoia;08189;Sant Pere Sallavinera;1;;123;47;88;104;19;3;2;99;101
8;Barcelona;1;Barcelona;21;Maresme;08235;Sant Pol de Mar;1;;3976;1142;2145;2602;1374;30;15;2557;2572
8;Barcelona;8;Penedès;3;Alt Penedès;08236;Sant Quintí de Mediona;1;;1609;437;695;892;717;18;10;864;874
8;Barcelona;2;Catalunya Central;24;Osona;08237;Sant Quirze de Besora;1;;1633;521;912;1039;594;18;9;1012;1021
8;Barcelona;1;Barcelona;40;Vallès Occidental;08238;Sant Quirze del Vallès;1;;14968;3717;8256;9571;5397;108;71;9392;9463
