﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
25;Lleida;4;Lleida;23;Noguera;25240;Vallfogona de Balaguer;1906;1361;439;763;850;511;16;12;822;834
17;Girona;3;Girona;31;Ripollès;17170;Vallfogona de Ripollès;196;179;73;113;133;46;0;0;133;133
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43159;Vallfogona de Riucorb;77;76;32;47;59;17;2;1;56;57
8;Barcelona;1;Barcelona;41;Vallès Oriental;08294;Vallgorguina;2988;2194;587;1098;1258;936;22;7;1229;1236
8;Barcelona;1;Barcelona;11;Baix Llobregat;08295;Vallirana;15312;11512;2452;4656;5734;5778;73;38;5623;5661
17;Girona;3;Girona;10;Baix Empordà;17209;Vall-llobrega;897;639;144;386;427;212;7;4;416;420
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43160;Vallmoll;1774;1331;353;675;759;572;9;14;736;750
8;Barcelona;1;Barcelona;41;Vallès Oriental;08296;Vallromanes;2558;1873;462;991;1244;629;17;6;1221;1227
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43161;Valls;24477;17096;3919;7602;8592;8504;117;50;8425;8475
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25906;Valls d'Aguilar, les;245;211;47;87;122;89;1;1;120;121
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25239;Valls de Valira, les;784;579;107;189;238;341;4;0;234;234
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43162;Vandellòs i l'Hospitalet de l'Infant;6603;4476;1072;1973;2485;1991;33;23;2429;2452
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25909;Vansa i Fórnols, la;149;131;47;66;90;41;4;1;85;86
8;Barcelona;2;Catalunya Central;6;Anoia;08297;Veciana;175;135;52;76;90;45;2;4;84;88
43;Tarragona;8;Penedès;12;Baix Penedès;43163;Vendrell, el;38373;26565;5010;9906;11628;14937;221;101;11306;11407
17;Girona;3;Girona;2;Alt Empordà;17210;Ventalló;846;602;157;338;387;215;9;5;373;378
25;Lleida;4;Lleida;38;Urgell;25242;Verdú;902;703;176;351;404;299;8;3;393;396
17;Girona;3;Girona;10;Baix Empordà;17211;Verges;1169;846;305;517;595;251;7;5;583;588
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43164;Vespella de Gaià;417;319;111;153;180;139;3;0;177;177
8;Barcelona;2;Catalunya Central;24;Osona;08298;Vic;47630;27198;6936;13612;15646;11552;199;127;15320;15447
17;Girona;2;Catalunya Central;24;Osona;17212;Vidrà;177;148;50;90;113;35;3;6;104;110
17;Girona;3;Girona;34;Selva;17213;Vidreres;7951;5679;1086;2138;2593;3086;40;27;2526;2553
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25243;Vielha e Mijaran;5611;3754;618;1259;1721;2033;38;19;1664;1683
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43165;Vilabella;729;557;197;364;399;158;6;4;389;393
17;Girona;3;Girona;2;Alt Empordà;17214;Vilabertran;993;710;200;380;434;276;12;2;420;422
17;Girona;3;Girona;20;Gironès;17215;Vilablareix;3063;2426;753;1424;1663;763;33;28;1602;1630
8;Barcelona;2;Catalunya Central;14;Berguedà;08299;Vilada;419;375;138;219;245;130;2;7;236;243
17;Girona;3;Girona;2;Alt Empordà;17217;Viladamat;458;365;153;249;277;88;3;3;271;274
17;Girona;3;Girona;20;Gironès;17216;Viladasens;206;163;51;106;118;45;5;0;113;113
8;Barcelona;1;Barcelona;11;Baix Llobregat;08301;Viladecans;67197;49304;10952;21417;24304;25000;407;217;23680;23897
8;Barcelona;1;Barcelona;40;Vallès Occidental;08300;Viladecavalls;7545;5991;1470;3189;3560;2431;61;36;3463;3499
17;Girona;3;Girona;28;Pla de l'Estany;17218;Vilademuls;835;578;205;369;423;155;9;7;407;414
17;Girona;2;Catalunya Central;24;Osona;17220;Viladrau;1047;832;280;542;592;240;14;4;574;578
17;Girona;3;Girona;2;Alt Empordà;17221;Vilafant;5421;4188;1108;2078;2393;1795;39;18;2336;2354
8;Barcelona;8;Penedès;3;Alt Penedès;08305;Vilafranca del Penedès;40154;27696;7199;13558;15548;12148;219;115;15214;15329
25;Lleida;4;Lleida;38;Urgell;25244;Vilagrassa;560;385;124;241;252;133;10;5;237;242
17;Girona;3;Girona;2;Alt Empordà;17223;Vilajuïga;1116;819;193;407;477;342;3;7;467;474
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43175;Vilalba dels Arcs;621;531;149;265;318;213;4;5;309;314
8;Barcelona;1;Barcelona;41;Vallès Oriental;08306;Vilalba Sasserra;753;544;150;260;292;252;8;2;282;284
25;Lleida;5;Alt Pirineu i territori d'Aran;5;Alta Ribagorça;25245;Vilaller;549;433;128;201;245;188;2;5;238;243
