﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Sigles Candidatura;Nom Candidatura;Vots
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;JxCat;Junts per Catalunya;66
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;38
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;ERC;Esquerra Republicana de Catalunya;28
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;PDeCAT;Partit Demòcrata Europeu Català;18
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);6
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;VOX;Vox;5
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;PP;Partit Popular;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;Cs;Ciutadans-Partido de la Ciudadanía;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;ECP-PEC;En Comú Podem-Podem en Comú;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;FNC;Front Nacional de Catalunya;1
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;PNC;Partit Nacionalista de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;MPIC;Moviment Primàries per la Independència de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;IZQP;Izquierda en Positivo;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;PCTC;Partit Comunista dels Treballadors de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;ERC;Esquerra Republicana de Catalunya;107
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;JxCat;Junts per Catalunya;104
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;56
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);32
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PDeCAT;Partit Demòcrata Europeu Català;18
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;VOX;Vox;17
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;ECP-PEC;En Comú Podem-Podem en Comú;16
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;Cs;Ciutadans-Partido de la Ciudadanía;14
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;FNC;Front Nacional de Catalunya;5
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PP;Partit Popular;2
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;UEP;Unión Europea de Pensionistas;2
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PUM+J;Per Un Món Més Just;1
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;MPIC;Moviment Primàries per la Independència de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PNC;Partit Nacionalista de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;PCTC;Partit Comunista dels Treballadors de Catalunya;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;JxCat;Junts per Catalunya;393
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;ERC;Esquerra Republicana de Catalunya;347
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);141
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;115
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;ECP-PEC;En Comú Podem-Podem en Comú;51
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;VOX;Vox;47
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;PDeCAT;Partit Demòcrata Europeu Català;42
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;Cs;Ciutadans-Partido de la Ciudadanía;27
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;PP;Partit Popular;23
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;MPIC;Moviment Primàries per la Independència de Catalunya;4
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;4
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;FNC;Front Nacional de Catalunya;3
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;IZQP;Izquierda en Positivo;1
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;PCTC;Partit Comunista dels Treballadors de Catalunya;1
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;PNC;Partit Nacionalista de Catalunya;1
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;ERC;Esquerra Republicana de Catalunya;106
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;JxCat;Junts per Catalunya;99
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);64
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;51
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;ECP-PEC;En Comú Podem-Podem en Comú;25
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;VOX;Vox;16
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;Cs;Ciutadans-Partido de la Ciudadanía;12
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PDeCAT;Partit Demòcrata Europeu Català;10
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PP;Partit Popular;5
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;FNC;Front Nacional de Catalunya;3
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PCTC;Partit Comunista dels Treballadors de Catalunya;1
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;M.C.R.;Moviment Corrent Roig;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PUM+J;Per Un Món Més Just;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;MPIC;Moviment Primàries per la Independència de Catalunya;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;PNC;Partit Nacionalista de Catalunya;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;JxCat;Junts per Catalunya;200
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;ERC;Esquerra Republicana de Catalunya;93
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;49
